sku,style_name,category,color,material,silhouette,price,cost,launch_date
SKU1000,Noir Skirt,Tops,Cherry Red,Mohair,Tailored,62,31.96,2025-07-06
SKU1001,Astra Pant,Tops,Cobalt Blue,Mohair,Relaxed,195,92.88,2025-07-23
SKU1002,Aria Tee,Knitwear,Black,Wool,Relaxed,172,86.28,2025-06-21
SKU1003,Noir Pant,Dresses,Cherry Red,Poplin,Relaxed,130,54.72,2025-07-29
SKU1004,Noir Pant,Tops,Black,Wool,Relaxed,129,70.19,2025-07-12
SKU1005,Nero Jacket,Knitwear,Cherry Red,Poplin,Oversized,212,112.07,2025-07-05
SKU1006,Astra Jacket,Outerwear,Cherry Red,Mohair,Oversized,61,30.85,2025-07-08
SKU1007,Luna Dress,Bottoms,Sage Green,Mohair,Cropped,180,70.01,2025-07-13
SKU1008,Noir Jacket,Outerwear,Black,Wool,Cropped,84,37.24,2025-06-03
SKU1009,Nero Cardi,Bottoms,Cherry Red,Mohair,Tailored,63,22.6,2025-06-11
SKU1010,Nero Dress,Dresses,Cobalt Blue,Poplin,Cropped,147,55.99,2025-06-19
SKU1011,Vela Pant,Knitwear,White,Denim,Tailored,235,114.35,2025-06-09
SKU1012,Nero Tee,Knitwear,White,Poplin,Tailored,188,93.8,2025-07-03
SKU1013,Astra Tee,Tops,Sage Green,Wool,Cropped,193,104.9,2025-07-21
SKU1014,Aria Dress,Knitwear,Sage Green,Denim,Relaxed,184,76.39,2025-07-20
SKU1015,Aria Cardi,Dresses,Cobalt Blue,Wool,Tailored,198,83.97,2025-07-06
SKU1016,Aria Tee,Tops,Black,Mohair,Oversized,145,64.37,2025-08-04
SKU1017,Noir Jacket,Outerwear,Sage Green,Denim,Cropped,69,26.76,2025-07-13
SKU1018,Noir Tee,Knitwear,Cobalt Blue,Poplin,Oversized,208,78.2,2025-06-06
SKU1019,Nero Dress,Outerwear,Cherry Red,Mohair,Oversized,132,58.76,2025-07-28
SKU1020,Nero Cardi,Outerwear,Cherry Red,Poplin,Tailored,142,56.14,2025-07-14
SKU1021,Astra Cardi,Knitwear,White,Denim,Cropped,117,56.62,2025-07-18
SKU1022,Vela Pant,Bottoms,Sage Green,Cotton,Tailored,80,34.99,2025-07-13
SKU1023,Aria Jacket,Outerwear,Sage Green,Cotton,Tailored,225,116.22,2025-07-12
SKU1024,Luna Cardi,Tops,Sage Green,Denim,Relaxed,197,96.54,2025-06-07
SKU1025,Noir Tee,Knitwear,Black,Poplin,Relaxed,170,70.12,2025-07-12
SKU1026,Nero Tee,Tops,Cherry Red,Poplin,Oversized,123,63.52,2025-07-30
SKU1027,Nero Skirt,Outerwear,Cherry Red,Cotton,Relaxed,205,104.75,2025-06-23
SKU1028,Nero Skirt,Outerwear,Cobalt Blue,Cotton,Cropped,151,64.55,2025-07-16
SKU1029,Nero Dress,Tops,Sage Green,Cotton,Cropped,131,53.4,2025-06-03
SKU1030,Nero Pant,Outerwear,Black,Wool,Tailored,132,64.22,2025-06-27
SKU1031,Aria Skirt,Knitwear,Sage Green,Cotton,Tailored,89,33.64,2025-07-03
SKU1032,Vela Dress,Outerwear,Sage Green,Poplin,Relaxed,62,24.18,2025-08-13
SKU1033,Vela Dress,Tops,White,Denim,Tailored,153,53.78,2025-06-17
SKU1034,Aria Cardi,Tops,Cherry Red,Cotton,Relaxed,218,110.61,2025-06-21
SKU1035,Aria Pant,Knitwear,Sage Green,Wool,Oversized,57,27.53,2025-07-01
